City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Bambous Virieux,MU,-20.3428,57.7575,66.45,94,75,8.05,light intensity shower rain
252,Bideford,GB,51.0179,-4.2046,57.31,89,17,8.57,few clouds
253,Hambantota,LK,6.1241,81.1185,81.01,77,63,17.58,broken clouds
254,Bernalillo,US,35.05,-106.6673,94.51,22,40,20.71,scattered clouds
255,Shache,CN,38.4167,77.2406,77.72,16,31,8.01,scattered clouds
256,Neuquen,AR,-38.9516,-68.0591,48.09,49,100,4.61,light rain
257,Puerto Leguizamo,CO,-0.1934,-74.7819,71.94,97,20,2.68,few clouds
258,Liepaja,LV,56.5419,21.0367,66.18,100,40,3.44,thunderstorm with light rain
259,Fort Nelson,CA,58.8053,-122.7002,71.19,56,100,17.27,overcast clouds
260,Nouadhibou,MR,20.931,-17.0347,69.78,78,0,17.27,clear sky
261,Kasangulu,CD,-4.5911,15.1708,70.68,63,34,3.18,scattered clouds
262,Flin Flon,CA,54.7682,-101.865,64.24,29,75,13.8,broken clouds
263,San Buenaventura,MX,27.0833,-101.5333,98.47,27,9,18.7,clear sky
264,Bartica,GY,6.4,-58.6167,77.32,99,98,2.73,light rain
265,Nanortalik,GL,60.1432,-45.2371,44.11,74,90,7.67,overcast clouds
266,Yima,CN,34.7381,111.8839,76.68,70,3,6.76,clear sky
267,Iwanai,JP,42.9744,140.5089,73.42,75,86,2.01,overcast clouds
268,Laguna,US,38.421,-121.4238,93.15,36,0,10.36,clear sky
269,Mokhsogollokh,RU,61.4681,128.9203,67.86,60,93,3.22,overcast clouds
270,Cam Ranh,VN,11.9214,109.1591,82.36,69,40,8.05,scattered clouds
271,Olinda,BR,-8.0089,-34.8553,74.93,94,75,8.05,light rain
272,Bogorodskoye,RU,56.55,37.8833,51.4,87,23,4.54,few clouds
273,Arinos,BR,-15.9169,-46.1056,66.83,41,37,2.95,scattered clouds
274,Ahipara,NZ,-35.1667,173.1667,61.21,80,86,10.38,overcast clouds
275,Paita,PE,-5.0892,-81.1144,64.87,81,20,15.82,few clouds
276,Ostersund,SE,63.1792,14.6357,66.65,100,10,10.36,clear sky
277,Naze,JP,28.3667,129.4833,81.52,84,62,15.52,light rain
278,Port-Gentil,GA,-0.7193,8.7815,73.36,88,20,2.3,few clouds
279,Glubokiy,RU,48.5217,40.3258,61.45,62,5,4.25,clear sky
280,Luanda,AO,-8.8368,13.2343,71.6,88,75,6.91,broken clouds
281,Urdoma,RU,61.7533,48.5442,42.98,76,13,3.87,few clouds
282,Hami,CN,42.8,93.45,87.08,10,2,6.62,clear sky
